z,Omega_grav_pklin,Omega_grav_pknl,Omega_grav_halo,Omega_grav_halo_Mgt1e12,Omega_grav_halo_Mgt1e13,Omega_grav_halo_Mgt1e14,Omega_grav_halo_times_fb
0.0,-4.229115631917285e-7,-6.284210572632812e-7,-1.9769255983310302e-7,-1.9558384206907942e-7,-1.8351881139532837e-7,-1.263623380801304e-7,-3.105941645727989e-8
0.3,-4.002487470074939e-7,-5.552469075548864e-7,-1.3909692172670058e-7,-1.3656382622605997e-7,-1.228241501173514e-7,-6.837959189676344e-8,-2.185347401785143e-8
0.5,-3.7565542398080347e-7,-5.031197925395151e-7,-1.0771467253424342e-7,-1.0492239687594087e-7,-9.052949828929453e-8,-4.151454485078787e-8,-1.6923018628647403e-8
0.7,-3.4952108632682617e-7,-4.5434602880293105e-7,-8.293355784942464e-8,-7.991586934911543e-8,-6.531377482434608e-8,-2.358319387447432e-8,-1.3029665424454035e-8
1.0,-3.1230364983826485e-7,-3.909499818586094e-7,-5.604877841049102e-8,-5.2779475472461487e-8,-3.8703598583015025e-8,-8.948481759095833e-9,-8.805806106425558e-9
1.3,-2.797528395870585e-7,-3.3940205286218013e-7,-3.8168567129606464e-8,-3.4772096406301084e-8,-2.207555859397738e-8,-2.9416400628300083e-9,-5.996651685105976e-9
1.5,-2.6081513765919e-7,-3.1075401534270377e-7,-2.9711010632041215e-8,-2.6303309761390352e-8,-1.4853239838461415e-8,-1.2936561143542931e-9,-4.6678876198795495e-9
