z,Omega_th_B1p266,Omega_th_err_low,Omega_th_err_high,Omega_th_B1
0.0,1.6825939970895646e-8,1.1037317279177427e-9,1.123968417957506e-9,2.5644499218510772e-8
0.3,1.2277063284384805e-8,8.053389169382718e-10,8.201046372911552e-10,1.8711533521847843e-8
0.5,9.705303785967507e-9,6.366391260269271e-10,6.483117710499098e-10,1.4791902014696483e-8
0.7,7.448359220791644e-9,4.88590260463103e-10,4.975484605468197e-10,1.1352081520983302e-8
1.0,4.8091608417477354e-9,3.154666791203348e-10,3.212506946032236e-10,7.329666078758012e-9
1.3,3.1038455632311088e-9,2.0360305769666428e-10,2.0733607711210666e-10,4.7305865383056746e-9
1.5,2.330192858541829e-9,1.5285373623040731e-10,1.556562774668994e-10,3.55145858378303e-9
